,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
12963,172.16.1.196,172.16.1.52,632.0,1612984413.0,100.0,1,1.0,0.26224066390041495
12973,172.16.1.196,172.16.1.52,463.0,1612984420.0,100.0,1,1.0,0.19211618257261412
13123,172.16.1.196,172.16.1.52,599.0,1612984449.0,100.0,1,1.0,0.24854771784232366
12975,172.16.1.52,172.16.1.196,463.0,1612984420.0,100.0,1,1.0,0.19211618257261412
9257,172.16.1.52,172.16.1.196,851.0,1612983161.0,100.0,1,1.0,0.35311203319502077
13079,172.16.1.52,172.16.1.196,644.0,1612984440.0,100.0,1,1.0,0.2672199170124481
13077,172.16.1.196,172.16.1.52,644.0,1612984440.0,100.0,1,1.0,0.2672199170124481
13065,172.16.1.52,172.16.1.196,618.0,1612984436.0,100.0,1,1.0,0.2564315352697095
13063,172.16.1.196,172.16.1.52,618.0,1612984436.0,100.0,1,1.0,0.2564315352697095
9277,172.16.1.196,172.16.1.52,595.0,1612983169.0,100.0,1,1.0,0.24688796680497926
13049,172.16.1.52,172.16.1.196,622.0,1612984428.0,100.0,1,1.0,0.25809128630705397
9279,172.16.1.52,172.16.1.196,595.0,1612983169.0,100.0,1,1.0,0.24688796680497926
13048,172.16.1.196,172.16.1.52,622.0,1612984428.0,100.0,1,1.0,0.25809128630705397
13016,172.16.1.52,172.16.1.196,632.0,1612984424.0,100.0,1,1.0,0.26224066390041495
13014,172.16.1.196,172.16.1.52,632.0,1612984424.0,100.0,1,1.0,0.26224066390041495
9317,172.16.1.196,172.16.1.52,660.0,1612983176.0,100.0,1,1.0,0.27385892116182575
9318,172.16.1.52,172.16.1.196,660.0,1612983176.0,100.0,1,1.0,0.27385892116182575
9334,172.16.1.196,172.16.1.52,703.0,1612983201.0,100.0,1,1.0,0.291701244813278
9336,172.16.1.52,172.16.1.196,702.0,1612983201.0,100.0,1,1.0,0.29128630705394193
12842,172.16.1.196,172.16.1.52,448.0,1612984380.0,100.0,1,1.0,0.18589211618257262
12835,172.16.1.52,172.16.1.196,653.0,1612984376.0,100.0,1,1.0,0.270954356846473
12833,172.16.1.196,172.16.1.52,653.0,1612984376.0,100.0,1,1.0,0.270954356846473
12820,172.16.1.52,172.16.1.196,644.0,1612984368.0,100.0,1,1.0,0.2672199170124481
12685,172.16.1.196,172.16.1.52,920.0,1612984340.0,100.0,1,1.0,0.3817427385892116
12680,172.16.1.52,172.16.1.196,1280.0,1612984337.0,100.0,1,1.0,0.5311203319502075
12679,172.16.1.196,172.16.1.52,1280.0,1612984337.0,100.0,1,1.0,0.5311203319502075
